,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,False,True,True,True,True,True,True,True,True,False
Heartrate,True,True,True,True,True,True,False,True,False,False,True
SpO2,False,False,True,True,True,True,False,True,True,False,False
ABPs,False,True,True,True,True,False,True,True,True,False,False
ABPm,False,True,True,True,True,False,True,True,False,True,False
ABPd,True,False,True,True,True,True,False,True,True,False,True
RRate,False,True,True,True,True,True,True,True,True,False,True
Temp,True,False,False,False,False,False,True,True,False,True,True
EtCO2,True,False,True,False,True,True,False,True,True,True,True
PTT,True,True,True,True,True,True,True,True,False,False,False
BUN,True,True,True,True,True,False,True,True,True,False,False
Lactate,True,True,True,True,True,True,False,True,False,True,False
Hgb,False,True,False,False,False,True,False,False,False,False,True
HCO3,True,True,False,False,True,True,True,False,True,True,True
BaseExcess,True,False,True,True,True,True,True,True,True,True,False
Fibrinogen,False,True,False,False,False,True,True,False,True,True,False
Phosphate,True,True,False,False,True,True,False,False,True,True,True
WBC,True,True,True,True,True,False,True,True,False,False,True
Creatinine,False,False,False,False,False,False,True,True,False,False,True
PaCO2,False,False,False,False,False,False,False,False,True,False,False
AST,False,True,True,True,True,False,False,False,True,True,False
FiO2,True,True,False,False,False,True,True,True,False,True,True
Platelets,False,False,True,True,True,False,False,False,False,False,False
SaO2,True,True,True,True,True,True,False,True,True,True,False
Glucose,True,True,True,True,True,True,True,True,True,True,True
Magnesium,True,True,True,True,True,True,False,False,True,False,False
Potassium,False,False,True,True,True,True,True,True,True,False,True
Calcium,True,False,True,True,True,True,False,True,False,False,True
Alkalinephos,True,True,True,True,True,False,True,False,True,False,True
Bilirubin_direct,False,True,True,True,True,False,True,False,True,True,True
Chloride,False,True,False,False,False,False,False,True,False,False,True
Hct,True,True,False,False,False,True,True,True,False,False,False
Bilirubin_total,True,True,True,True,True,False,True,False,True,False,True
TroponinI,False,False,True,True,True,True,True,False,True,True,True
pH,False,True,True,True,True,False,False,False,True,True,False
