,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,True,True,True,False,True,True,True,True,False,False
Heartrate,False,True,True,True,True,True,False,True,False,False,True
SpO2,True,True,True,True,False,True,False,True,True,True,False
ABPs,False,False,True,True,True,False,True,True,False,False,True
ABPm,False,True,True,True,True,False,True,False,True,True,True
ABPd,True,True,False,False,False,False,False,False,True,False,True
RRate,True,True,True,True,True,True,True,True,True,False,True
Temp,True,False,True,True,True,False,True,False,False,True,True
EtCO2,False,True,True,False,True,True,True,True,True,True,True
PTT,True,True,True,True,True,True,False,True,False,True,True
BUN,True,False,True,True,True,True,False,False,False,False,True
Lactate,True,True,True,True,True,True,False,True,True,False,False
Hgb,False,False,False,False,False,True,True,True,False,True,True
HCO3,True,False,True,True,True,True,True,False,True,True,True
BaseExcess,True,False,False,False,False,True,True,True,True,True,False
Fibrinogen,False,True,True,True,True,True,False,True,True,True,True
Phosphate,True,True,False,False,True,True,True,True,True,False,True
WBC,False,True,False,False,False,False,False,False,False,False,True
Creatinine,False,False,False,False,False,True,True,True,False,False,True
PaCO2,False,True,False,False,False,False,False,False,False,False,False
AST,True,True,True,True,True,False,False,False,True,False,False
FiO2,True,False,False,False,False,True,False,True,False,True,True
Platelets,False,True,False,False,False,False,False,False,True,False,True
SaO2,True,False,True,True,True,True,True,True,False,True,True
Glucose,True,False,False,True,True,True,False,True,False,False,False
Magnesium,True,True,True,True,True,False,True,False,False,True,False
Potassium,True,True,True,True,True,True,False,True,False,False,False
Calcium,True,False,True,True,True,True,False,True,True,False,True
Alkalinephos,False,False,False,False,False,False,False,False,True,False,True
Bilirubin_direct,True,True,False,False,False,False,True,False,True,True,False
Chloride,False,False,True,True,True,False,False,False,False,False,True
Hct,True,True,False,False,False,True,True,True,False,False,True
Bilirubin_total,True,False,True,True,True,True,False,True,True,False,False
TroponinI,True,False,True,True,True,False,True,True,False,False,False
pH,False,True,True,True,True,False,False,False,True,False,False
