,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,True,True,True,True,False,True,False,True,True,False
Heartrate,False,True,True,True,True,True,False,False,True,False,True
SpO2,True,True,True,True,True,True,False,True,False,False,True
ABPs,False,False,True,True,True,False,False,False,True,True,False
ABPm,False,True,True,True,True,False,False,True,False,False,True
ABPd,True,False,False,False,False,True,False,True,True,False,True
RRate,True,True,True,True,True,True,True,True,False,False,True
Temp,True,True,False,True,False,False,False,False,False,True,False
EtCO2,True,False,True,True,True,True,True,True,True,True,True
PTT,True,True,False,True,False,True,True,True,False,False,True
BUN,True,True,True,False,True,True,True,True,True,False,True
Lactate,True,True,True,True,True,True,False,True,False,True,True
Hgb,True,False,True,False,True,True,True,False,True,True,False
HCO3,True,True,True,True,True,False,True,False,True,True,False
BaseExcess,True,False,False,False,False,True,False,True,True,False,False
Fibrinogen,False,True,False,False,False,True,False,True,True,True,False
Phosphate,True,True,False,False,False,False,True,True,False,False,False
WBC,True,False,True,True,True,True,True,True,False,False,False
Creatinine,True,True,False,False,False,False,True,True,False,False,True
PaCO2,False,True,False,False,False,False,False,True,False,True,False
AST,False,True,True,True,False,True,False,False,True,True,True
FiO2,True,True,True,True,True,True,True,False,True,True,True
Platelets,False,True,True,True,True,True,False,True,False,False,True
SaO2,True,False,False,False,False,False,True,True,True,True,True
Glucose,True,True,True,True,True,True,False,True,True,True,False
Magnesium,True,True,False,False,False,False,False,False,True,True,True
Potassium,False,False,True,True,True,False,False,False,False,True,True
Calcium,True,True,True,True,True,True,False,True,True,True,True
Alkalinephos,True,True,False,True,False,True,False,True,True,True,True
Bilirubin_direct,False,False,True,True,True,False,False,False,True,False,False
Chloride,False,True,False,False,False,False,False,True,True,False,False
Hct,True,True,False,True,False,True,True,False,False,False,True
Bilirubin_total,False,False,True,True,True,False,False,True,True,False,True
TroponinI,True,False,True,True,True,False,True,True,True,True,True
pH,False,False,True,True,True,False,True,True,False,False,False
