,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,False,True,True,True,True,True,True,False,False,False
Heartrate,True,True,True,True,True,False,True,True,False,True,True
SpO2,True,False,True,True,True,True,False,True,False,False,True
ABPs,False,False,False,False,True,False,True,True,True,False,True
ABPm,False,False,False,False,False,False,True,True,False,True,True
ABPd,False,False,True,True,True,False,True,True,True,False,False
RRate,False,True,True,True,True,True,True,True,True,False,True
Temp,True,True,True,True,True,False,False,False,False,True,False
EtCO2,True,False,True,True,True,True,True,True,True,True,True
PTT,True,True,True,True,False,True,True,True,True,True,True
BUN,True,True,True,True,True,False,True,False,False,True,True
Lactate,True,True,True,True,True,True,False,True,True,True,True
Hgb,True,False,False,False,False,False,False,True,False,False,True
HCO3,True,False,True,True,True,False,True,False,True,True,True
BaseExcess,True,False,False,False,False,True,False,True,False,False,True
Fibrinogen,True,True,True,True,False,False,False,False,True,True,False
Phosphate,True,True,True,True,True,True,False,False,True,False,True
WBC,True,True,False,False,False,False,True,False,False,True,False
Creatinine,False,True,False,True,True,False,False,True,True,False,True
PaCO2,False,True,True,True,True,False,False,False,True,True,False
AST,True,True,True,True,True,False,True,False,False,True,False
FiO2,True,True,True,False,False,True,False,True,True,True,True
Platelets,False,True,False,False,True,False,False,False,False,False,True
SaO2,True,False,False,False,False,False,False,True,True,True,True
Glucose,True,True,False,False,False,True,True,True,True,False,False
Magnesium,True,True,True,True,True,True,True,True,True,False,True
Potassium,False,False,True,True,True,False,True,False,False,False,True
Calcium,True,False,True,True,True,False,False,True,True,True,True
Alkalinephos,False,False,True,True,True,True,False,False,False,True,True
Bilirubin_direct,False,False,True,True,True,False,True,False,True,False,True
Chloride,False,False,True,True,True,False,False,True,False,False,True
Hct,True,False,False,False,True,False,True,False,False,False,False
Bilirubin_total,False,True,True,True,True,False,True,False,True,True,True
TroponinI,False,False,True,True,True,True,True,True,False,True,True
pH,False,False,True,True,True,False,False,False,False,False,False
