,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,True
Heartrate,True,True,True,True
SpO2,False,True,True,False
ABPs,True,True,True,True
ABPm,True,True,True,True
ABPd,True,False,True,True
RRate,True,True,False,True
Temp,True,True,False,True
EtCO2,True,True,True,True
PTT,False,True,False,False
BUN,False,False,False,True
Lactate,False,True,True,True
Hgb,False,True,False,False
HCO3,False,True,True,True
BaseExcess,False,False,False,True
Fibrinogen,True,False,False,False
Phosphate,True,True,True,True
WBC,True,True,False,False
Creatinine,True,True,True,True
PaCO2,True,False,True,False
AST,False,True,True,False
FiO2,True,False,True,True
Platelets,True,False,False,False
SaO2,True,True,True,True
Glucose,True,True,False,True
Magnesium,True,True,False,False
Potassium,True,True,False,True
Calcium,True,False,True,True
Alkalinephos,True,True,False,False
Bilirubin_direct,False,True,False,False
Chloride,True,True,True,False
Hct,True,False,True,True
Bilirubin_total,True,False,False,True
TroponinI,False,True,False,True
pH,True,False,True,True
