,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,False
Heartrate,True,True,False,True
SpO2,True,True,True,True
ABPs,True,True,True,True
ABPm,True,True,False,True
ABPd,True,False,False,True
RRate,True,True,False,False
Temp,True,False,True,True
EtCO2,True,True,True,True
PTT,True,True,False,False
BUN,False,False,True,True
Lactate,True,False,False,True
Hgb,False,True,False,True
HCO3,False,True,True,False
BaseExcess,False,True,False,True
Fibrinogen,True,False,False,True
Phosphate,False,True,True,True
WBC,False,True,True,True
Creatinine,True,False,False,False
PaCO2,True,True,True,False
AST,False,True,True,True
FiO2,True,False,True,True
Platelets,True,False,False,False
SaO2,True,True,True,True
Glucose,True,True,True,True
Magnesium,True,False,False,False
Potassium,True,True,True,True
Calcium,True,True,True,False
Alkalinephos,False,True,True,True
Bilirubin_direct,True,True,False,True
Chloride,True,True,True,True
Hct,False,False,True,False
Bilirubin_total,False,False,False,False
TroponinI,False,True,True,True
pH,True,False,False,False
