,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,True
Heartrate,True,True,True,True
SpO2,True,True,True,True
ABPs,True,True,False,True
ABPm,True,True,False,True
ABPd,True,True,True,True
RRate,True,True,True,True
Temp,True,True,True,True
EtCO2,True,True,True,False
PTT,True,True,False,False
BUN,True,True,False,True
Lactate,True,True,True,True
Hgb,True,True,True,False
HCO3,True,True,True,True
BaseExcess,True,True,False,False
Fibrinogen,True,True,True,False
Phosphate,True,True,False,False
WBC,True,True,False,True
Creatinine,True,True,True,True
PaCO2,True,True,True,True
AST,True,True,False,True
FiO2,True,True,True,True
Platelets,True,True,True,False
SaO2,True,True,True,True
Glucose,True,True,True,False
Magnesium,True,True,False,False
Potassium,True,True,False,True
Calcium,True,True,True,True
Alkalinephos,True,True,False,False
Bilirubin_direct,True,True,True,True
Chloride,True,True,False,True
Hct,True,True,True,False
Bilirubin_total,True,True,False,False
TroponinI,True,True,True,True
pH,True,True,True,True
