,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,False
Heartrate,True,False,False,True
SpO2,False,False,True,False
ABPs,True,True,True,True
ABPm,True,True,False,True
ABPd,True,True,True,True
RRate,True,True,False,True
Temp,True,False,True,True
EtCO2,True,True,True,False
PTT,True,True,True,False
BUN,True,False,False,True
Lactate,True,True,False,True
Hgb,False,True,True,False
HCO3,False,True,True,True
BaseExcess,False,False,True,True
Fibrinogen,False,True,False,True
Phosphate,True,True,False,False
WBC,False,True,False,False
Creatinine,True,True,True,False
PaCO2,True,False,True,False
AST,False,True,False,False
FiO2,False,True,False,True
Platelets,True,False,False,True
SaO2,False,True,True,False
Glucose,True,True,True,True
Magnesium,False,False,False,True
Potassium,True,True,False,True
Calcium,True,False,True,True
Alkalinephos,False,True,True,False
Bilirubin_direct,True,True,False,True
Chloride,True,True,True,True
Hct,False,True,True,False
Bilirubin_total,False,True,True,False
TroponinI,False,True,True,True
pH,False,True,False,False
