,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,True,True,True,True,True,True,True,True,True,False
Heartrate,False,False,True,True,True,True,True,False,False,False,False
SpO2,False,True,True,True,True,False,False,True,True,True,False
ABPs,False,True,True,True,True,True,True,True,True,False,False
ABPm,True,True,True,True,True,False,True,False,True,True,False
ABPd,True,False,False,True,True,True,False,True,True,True,True
RRate,True,False,True,True,True,False,True,True,True,True,True
Temp,True,False,True,True,True,False,False,True,True,True,True
EtCO2,True,True,True,True,True,True,True,False,True,True,True
PTT,True,True,True,True,True,True,True,True,True,True,True
BUN,True,False,True,True,True,False,True,False,False,False,True
Lactate,False,True,True,True,True,True,False,True,True,True,True
Hgb,True,True,True,True,True,True,True,False,False,True,False
HCO3,True,False,True,True,True,True,True,False,True,True,True
BaseExcess,True,True,False,False,False,True,False,True,False,False,False
Fibrinogen,False,True,False,False,False,False,True,False,True,True,True
Phosphate,True,True,False,False,True,False,False,True,False,False,False
WBC,True,True,False,False,False,False,True,True,True,True,True
Creatinine,True,True,True,True,True,False,True,True,True,False,False
PaCO2,False,True,False,False,False,False,True,False,False,False,False
AST,True,True,True,True,True,False,False,True,True,True,False
FiO2,True,True,False,True,False,True,True,False,True,True,True
Platelets,False,False,False,False,False,False,True,True,False,False,True
SaO2,False,False,True,True,True,True,True,True,False,True,True
Glucose,True,True,True,True,True,False,True,True,True,True,False
Magnesium,True,True,False,False,False,False,False,True,True,False,False
Potassium,False,False,True,True,True,False,False,False,False,False,True
Calcium,True,False,False,False,False,False,True,False,True,False,True
Alkalinephos,True,False,False,False,False,True,False,True,True,True,False
Bilirubin_direct,False,True,True,True,True,True,False,False,True,True,False
Chloride,False,False,False,True,True,False,False,True,False,False,False
Hct,True,True,False,False,False,True,True,True,True,False,True
Bilirubin_total,False,False,False,False,False,False,True,False,True,False,False
TroponinI,True,True,True,True,True,True,True,False,False,True,False
pH,False,True,True,True,True,True,False,True,True,False,True
