,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,True,False,True,True,True,True,True,True,False,False,False
Heartrate,False,False,True,True,True,True,True,False,True,True,False
SpO2,True,False,False,True,True,True,False,True,False,False,False
ABPs,False,False,True,True,True,True,False,False,True,False,True
ABPm,False,True,True,True,True,False,False,False,False,True,False
ABPd,True,True,True,True,True,False,False,False,False,False,False
RRate,False,False,True,True,True,False,True,False,False,True,True
Temp,True,True,True,True,False,False,False,False,False,True,True
EtCO2,False,False,False,False,False,True,True,True,True,True,True
PTT,True,True,True,True,True,True,True,True,True,True,True
BUN,True,True,True,True,True,False,True,True,True,False,True
Lactate,False,True,False,True,True,True,False,True,False,True,True
Hgb,True,False,True,True,True,True,True,False,False,False,False
HCO3,True,False,True,True,True,True,True,False,True,True,False
BaseExcess,True,True,False,False,False,True,False,True,True,False,True
Fibrinogen,False,True,False,True,False,False,True,False,False,True,True
Phosphate,True,True,False,False,False,False,False,False,True,False,True
WBC,True,True,True,True,True,False,True,True,False,True,True
Creatinine,False,True,True,True,True,False,False,True,True,False,True
PaCO2,False,True,False,False,False,False,True,False,False,False,False
AST,True,True,True,True,True,True,False,True,False,True,False
FiO2,True,True,True,True,True,True,True,True,False,True,True
Platelets,True,True,False,True,True,True,False,True,False,False,False
SaO2,True,False,False,True,True,True,True,True,False,True,True
Glucose,True,False,True,True,True,False,False,False,False,True,True
Magnesium,True,True,True,True,True,False,True,True,False,False,False
Potassium,False,True,True,True,True,False,False,True,False,False,True
Calcium,True,False,False,True,True,False,False,True,False,False,True
Alkalinephos,True,False,False,False,False,False,False,True,False,True,True
Bilirubin_direct,True,True,True,True,True,False,False,True,True,True,False
Chloride,False,False,True,True,True,False,False,True,False,False,True
Hct,True,True,True,True,True,True,True,False,False,False,False
Bilirubin_total,True,False,True,True,True,False,True,False,True,True,True
TroponinI,True,True,True,True,True,True,True,False,False,False,True
pH,False,True,True,False,False,True,True,False,False,False,False
