,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,False
Heartrate,True,True,True,True
SpO2,True,True,True,True
ABPs,True,True,False,True
ABPm,False,True,True,True
ABPd,True,True,True,False
RRate,True,True,True,False
Temp,True,False,False,True
EtCO2,False,False,True,True
PTT,True,True,True,False
BUN,True,True,False,False
Lactate,False,True,False,True
Hgb,False,False,True,True
HCO3,False,False,True,False
BaseExcess,True,False,False,False
Fibrinogen,False,True,False,True
Phosphate,True,True,False,True
WBC,True,True,False,False
Creatinine,True,False,True,True
PaCO2,False,True,True,True
AST,False,True,True,False
FiO2,True,False,False,True
Platelets,True,False,True,False
SaO2,True,True,True,False
Glucose,True,True,False,True
Magnesium,True,True,False,False
Potassium,True,True,False,True
Calcium,True,True,True,True
Alkalinephos,False,True,True,False
Bilirubin_direct,False,True,True,True
Chloride,True,True,True,True
Hct,True,True,False,True
Bilirubin_total,False,True,False,True
TroponinI,True,True,True,True
pH,True,False,False,False
