,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,True
Heartrate,True,False,False,True
SpO2,True,True,True,True
ABPs,True,True,True,True
ABPm,True,True,False,True
ABPd,True,True,False,True
RRate,True,False,False,True
Temp,True,True,True,True
EtCO2,False,True,True,True
PTT,True,True,True,False
BUN,False,True,False,True
Lactate,True,True,False,True
Hgb,False,True,False,False
HCO3,False,True,True,True
BaseExcess,True,False,True,True
Fibrinogen,True,True,False,False
Phosphate,False,True,False,True
WBC,True,True,True,False
Creatinine,True,True,True,False
PaCO2,True,True,True,True
AST,False,True,False,False
FiO2,True,False,False,True
Platelets,True,True,False,False
SaO2,True,True,True,True
Glucose,True,True,False,True
Magnesium,True,True,False,False
Potassium,False,True,True,True
Calcium,True,True,True,True
Alkalinephos,False,True,True,True
Bilirubin_direct,True,True,False,True
Chloride,False,True,True,False
Hct,False,False,True,True
Bilirubin_total,False,True,True,False
TroponinI,True,True,True,True
pH,False,True,True,True
