,LABEL_RRate,LABEL_ABPm,LABEL_SpO2,LABEL_Heartrate
Age,True,True,True,True
Heartrate,False,True,False,True
SpO2,False,True,True,True
ABPs,True,True,True,True
ABPm,True,True,True,True
ABPd,True,False,False,True
RRate,True,True,False,True
Temp,True,True,False,True
EtCO2,True,True,True,True
PTT,True,True,True,False
BUN,False,True,False,False
Lactate,True,True,True,True
Hgb,False,False,False,False
HCO3,True,False,True,False
BaseExcess,True,False,True,True
Fibrinogen,True,False,True,True
Phosphate,True,True,False,False
WBC,False,True,False,True
Creatinine,True,False,True,True
PaCO2,True,False,True,False
AST,False,True,False,False
FiO2,True,True,True,True
Platelets,True,False,True,False
SaO2,True,True,True,True
Glucose,True,True,False,True
Magnesium,True,False,True,False
Potassium,True,False,True,True
Calcium,True,False,True,True
Alkalinephos,False,True,True,False
Bilirubin_direct,True,False,False,False
Chloride,True,True,True,True
Hct,True,True,True,True
Bilirubin_total,True,False,False,True
TroponinI,True,True,False,True
pH,False,True,False,True
