,LABEL_BaseExcess,LABEL_Fibrinogen,LABEL_AST,LABEL_Alkalinephos,LABEL_Bilirubin_total,LABEL_Lactate,LABEL_TroponinI,LABEL_SaO2,LABEL_Bilirubin_direct,LABEL_EtCO2,LABEL_Sepsis
Age,False,True,True,True,True,True,True,True,False,True,False
Heartrate,False,False,True,True,True,True,True,True,False,True,True
SpO2,True,True,True,True,True,True,True,True,True,False,True
ABPs,False,False,True,True,True,True,True,True,True,False,True
ABPm,False,True,True,True,True,True,True,True,False,False,True
ABPd,True,True,False,True,True,True,True,True,False,False,True
RRate,True,True,True,True,True,True,True,True,False,False,True
Temp,True,False,True,True,False,True,False,True,False,True,True
EtCO2,True,False,True,True,True,True,True,True,True,True,True
PTT,True,True,False,False,False,True,True,True,False,True,True
BUN,True,True,True,True,True,True,False,True,True,False,True
Lactate,True,True,True,True,True,True,False,True,False,True,True
Hgb,True,False,True,True,True,False,False,False,False,True,False
HCO3,True,False,True,True,True,True,True,False,True,True,False
BaseExcess,True,True,False,False,False,True,False,True,False,True,True
Fibrinogen,True,True,False,False,False,True,True,True,False,True,False
Phosphate,False,True,False,False,False,True,False,True,False,False,False
WBC,True,True,False,False,True,False,False,False,False,False,False
Creatinine,False,True,False,False,False,False,True,True,False,False,False
PaCO2,False,False,False,False,False,False,True,True,False,False,False
AST,False,True,True,True,True,False,True,False,False,True,False
FiO2,True,True,False,False,False,False,False,False,False,True,True
Platelets,False,False,False,False,False,True,False,False,False,False,True
SaO2,True,True,True,True,True,False,False,True,True,True,True
Glucose,True,False,True,True,True,True,True,False,False,True,False
Magnesium,False,True,False,False,False,True,False,True,False,True,False
Potassium,False,False,False,False,False,False,False,False,False,False,True
Calcium,True,False,True,True,True,True,False,True,True,False,True
Alkalinephos,False,True,False,True,False,True,False,True,False,True,True
Bilirubin_direct,False,True,False,False,False,False,True,False,True,True,True
Chloride,False,False,True,True,True,False,False,False,False,False,False
Hct,True,True,False,False,False,False,False,False,False,False,False
Bilirubin_total,False,True,True,True,True,False,False,False,True,False,False
TroponinI,False,True,False,False,True,False,True,False,False,True,True
pH,False,False,True,True,True,False,True,False,True,False,True
